DONOR_ID|NATIONAL_ID|SURNAME1|SURNAME2|FORENAME|BIRTH_DATE|SEX|ABO|RH|SITE_CODE|FIRST_DONATION_DT|REC_STATUS
D000273|45167310C|AlcaÒiz|AlcaÒiz|Aitana|1962-03-22|F|O|POS|MAD01||A
D000274|91851353S|PeÒalver|GÛmez|BegoÒa|1988-10-22|F|B|POS|VLC01||A
D000275|65701009B|RodrÌguez|Bofill|¡ngel|1955-12-17|F|AB|POS|BCN02||A
D000276|91593345N|N˙Òez|EspinÛs|Jordi|2003-04-04|F|AB|NEG|VLC01||A
D000277|49434748M|Ferr·ndez|Ib·Òez|Xavier|2003-09-17|F|A|NEG|LPA01||A
D000278|18446369R|Catal‡|RodrÌguez|Xavier|1958-01-26|M|AB|NEG|LPA01||A
D000279|22965345X|EspinÛs|Puigdemont|JosÈ|1984-10-16|F|AB|POS|BCN02||A
D000280|80159758Q|PeÒalver|VÌlchez|BegoÒa|1961-08-11|F|B|NEG|BCN01||A
D000281|52317133K|GÛmez|GÛmez|¡lvaro|1965-02-13|F|A|NEG|BCN01||A
D000282|60425080K|Catal‡|Ib·Òez|Aitana|1989-10-11|M|B|NEG|VLC01||A
D000283|61522302X|VÌlchez|Bofill|Xavier|1986-06-18|F|O|POS|MAD01||A
D000284|36416702H|Ferr·ndez|Puigdemont|SofÌa|1961-10-09|M|A|POS|LPA01||A
D000285|41643638Y|EspinÛs|AlcaÒiz|Xavier|1974-07-05|F|A|POS|BCN02||A
D000286|33616924S|MuÒoz|VÌlchez|¡lvaro|1975-12-19|M|A|NEG|LPA01||A
D000287|11206824S|N˙Òez|RodrÌguez|JosÈ|1981-01-07|F|B|POS|BCN02||A
D000288|63500458D|PeÒalver|S·ez|Joan|1976-06-25|M|A|NEG|VLC01||A
D000289|18517441W|EspinÛs|PeÒalver|LucÌa|1978-06-28|M|A|NEG|VLC01||A
D000290|79005121H|Ib·Òez|S·ez|JosÈ|1994-06-11|F|B|NEG|BCN02||A
D000291|87254721Z|RodrÌguez|Puigdemont|Xavier|1974-04-13|M|O|POS|BCN02||A
D000292|24113650Z|Ferr·ndez|N˙Òez|MartÌ|2003-12-28|M|A|NEG|LPA01||A
D000293|52365049A|AlcaÒiz|Ib·Òez|SofÌa|1981-08-01|F|A|POS|VLC01||A
D000294|50382673S|EspinÛs|Ferr·ndez|JosÈ|1981-08-17|M|A|NEG|BCN01||A
D000295|40484323Q|S·ez|S·ez|LucÌa|1995-02-28|F|B|POS|MAD01||A
D000296|58124551T|AlcaÒiz|EspinÛs|SofÌa|1969-01-15|F|O|POS|BCN01||A
D000297|46184235E|Puigdemont|RodrÌguez|CristÚfol|2001-07-12|M|O|NEG|BCN01||A
D000298|30369203Q|VÌlchez|Catal‡|LucÌa|1956-06-15|F|O|NEG|LPA01||A
D000299|15620105J|N˙Òez|AlcaÒiz|JosÈ|1959-12-11|M|AB|POS|BCN01||A
D000300|44129084X|AlcaÒiz|EspinÛs|Aitana|1986-11-05|M|A|POS|LPA01||A
D000301|32217949D|Bofill|Catal‡|SofÌa|1999-06-20|M|B|NEG|BCN01||A
D000302|77770330S|MuÒoz|Puigdemont|Aitana|1990-04-27|M|O|POS|BCN02||A
D000303|28441769M|MuÒoz|RodrÌguez|IÒaki|1998-09-03|M|A|NEG|VLC01||A
D000304|30513099E|PeÒalver|AlcaÒiz|LucÌa|1960-11-05|M|A|POS|BCN01||A
D000305|24518859L|Ib·Òez|Ib·Òez|BegoÒa|1962-12-09|F|AB|POS|BCN02||A
D000306|77359778W|Puigdemont|RodrÌguez|N˙ria|1999-11-02|M|B|NEG|LPA01||A
D000307|62763715K|GÛmez|AlcaÒiz|¡lvaro|1977-04-22|F|O|POS|BCN01||A
D000308|67564918H|RodrÌguez|EspinÛs|Aitana|1979-01-03|F|B|NEG|VLC01||A
D000309|93482195M|PeÒalver|Puigdemont|BegoÒa|2003-07-04|M|AB|POS|BCN01||A
D000310|83746479Z|EspinÛs|EspinÛs|CristÚfol|2001-09-08|M|A|POS|VLC01||A
D000311|42339479Y|Catal‡|GÛmez|LucÌa|1985-06-16|M|AB|POS|BCN02||A
D000312|58567659G|Puigdemont|N˙Òez|CristÚfol|1996-04-23|M|A|NEG|VLC01||A
D000313|90071413K|S·ez|EspinÛs|IÒaki|1975-04-24|F|AB|NEG|MAD01||A
D000314|29550666L|Puigdemont|Ib·Òez|Aitana|1964-01-11|M|A|POS|MAD01||A
D000315|47291565X|N˙Òez|VÌlchez|Joan|1995-02-06|M|A|NEG|VLC01||A
D000316|22524993C|EspinÛs|Ib·Òez|Joan|1997-05-25|M|AB|POS|BCN02||A
D000317|22471467K|RodrÌguez|Catal‡|Xavier|1991-05-27|M|O|NEG|VLC01||A
D000318|31860455V|AlcaÒiz|RodrÌguez|LucÌa|1978-04-22|F|B|NEG|BCN01||A
D000319|50633204Y|RodrÌguez|N˙Òez|SofÌa|2004-04-26|M|AB|POS|BCN01||A
D000320|65177175W|Ib·Òez|Puigdemont|MÛnica|1993-12-08|F|B|NEG|BCN02||A
D000321|88967658C|EspinÛs|Bofill|BegoÒa|1983-02-20|F|B|NEG|MAD01||A
D000322|60971100X|S·ez|Bofill|Jordi|2002-09-11|F|AB|POS|MAD01||A
D000323|76503367Y|Puigdemont|Catal‡|Joan|1955-11-13|F|A|NEG|LPA01||A
D000324|38175998V|N˙Òez|GÛmez|Xavier|1959-11-28|F|AB|NEG|LPA01||A
D000325|77232332S|AlcaÒiz|GÛmez|CristÚfol|1973-06-13|F|B|POS|BCN01||A
D000326|72565463C|GÛmez|S·ez|CristÚfol|1998-02-22|M|AB|POS|BCN02||A
D000327|85212555N|N˙Òez|MuÒoz|Aitana|1987-08-11|M|O|POS|BCN01||A
D000328|49654418Z|Puigdemont|PeÒalver|CristÚfol|1966-01-12|F|O|NEG|BCN02||A
D000329|36820109F|S·ez|GÛmez|MartÌ|1988-03-27|F|AB|POS|BCN02||A
D000330|32049892H|Ib·Òez|MuÒoz|Jordi|1982-12-05|M|A|NEG|BCN02||A
D000331|13236032G|EspinÛs|Catal‡|MartÌ|1993-03-07|M|AB|NEG|VLC01||A
D000332|69019999D|N˙Òez|EspinÛs|MartÌ|2001-09-19|F|O|NEG|LPA01||A
D000333|50950401P|VÌlchez|RodrÌguez|Joan|2002-01-27|F|AB|POS|MAD01||A
D000334|15155904Q|RodrÌguez|Bofill|Xavier|1989-09-28|F|AB|POS|BCN02||A
D000335|49107727B|Ib·Òez|EspinÛs|LucÌa|1960-09-06|M|AB|POS|VLC01||A
D000336|74026530W|GÛmez|Ferr·ndez|Xavier|1993-04-03|F|AB|NEG|LPA01||A
D000337|82630247Y|Ferr√°ndez|Catal‡|Bego√±a|1993-04-19|F|A|POS|MAD01||A
D000338|37688689Y|RodrÌguez|N˙Òez|JosÈ|2000-09-19|F|O|NEG|BCN01||A
D000339|79547909W|Catal‡|Bofill|MarÌa|1967-11-28|F|A|POS|BCN01||A
D000340|63706200Z|Bofill|EspinÛs|N˙ria|1987-01-15|M|O|NEG|LPA01||A
D000341|67905169Z|MuÒoz|Ferr·ndez|Xavier|1998-03-09|M|AB|NEG|VLC01||A
D000342|19442717C|VÌlchez|PeÒalver|Aitana|1996-02-20|F|AB|POS|VLC01||A
D000343|59755185C|Bofill|PeÒalver|MarÌa|1973-09-27|M|B|NEG|MAD01||A
D000344|48595803R|Ferr·ndez|Bofill|¡lvaro|1999-01-01|F|B|NEG|VLC01||A
D000345|39375063X|GÛmez|GÛmez|¡ngel|1966-11-11|M|O|POS|VLC01||A
D000346|43186034J|Catal‡|EspinÛs|SofÌa|1973-08-22|F|AB|NEG|MAD01||A
D000347|86800489G|Catal‡|Bofill|MÛnica|1970-04-22|M|O|NEG|BCN01||A
D000348|30429473Y|AlcaÒiz|VÌlchez|MartÌ|1962-10-26|M|A|POS|VLC01||A
D000349|56806641F|Catal‡|AlcaÒiz|Joan|1976-09-20|F|B|POS|BCN01||A
D000350|71649323V|MuÒoz|VÌlchez|N˙ria|1988-01-25|F|AB|POS|BCN02||A
D000351|41004640C|PeÒalver|RodrÌguez|BegoÒa|2004-12-24|M|A|NEG|LPA01||A
D000352|25368933K|Bofill|EspinÛs|Xavier|1992-08-08|M|B|POS|LPA01||A
D000353|72473102S|PeÒalver|RodrÌguez|Xavier|1972-06-18|M|A|POS|LPA01||A
D000354|58944715T|Catal‡|GÛmez|CristÚfol|1999-01-23|F|B|NEG|MAD01||A
D000355|32342087B|PeÒalver|Ib·Òez|MarÌa|1975-10-23|F|AB|NEG|BCN01||A
D000356|87911879M|MuÒoz|Ferr·ndez|JosÈ|1995-07-04|F|B|NEG|VLC01||A
D000357|46333735X|AlcaÒiz|Puigdemont|MÛnica|1972-05-12|F|O|NEG|BCN01||A
D000358|18609419X|Ib·Òez|MuÒoz|¡ngel|1963-09-13|F|B|NEG|LPA01||A
D000359|16899664X|AlcaÒiz|Ib·Òez|IÒaki|1990-04-19|F|A|NEG|VLC01||A
D000360|56116751J|Catal‡|Ferr·ndez|MartÌ|2002-04-01|F|O|POS|VLC01||A
D000361|30311999B|RodrÌguez|Puigdemont|BegoÒa|1983-03-28|F|B|NEG|BCN01||A
D000362|85020591X|AlcaÒiz|S·ez|IÒaki|1970-04-24|F|AB|POS|BCN01||A
D000363|36859833G|Ferr·ndez|Puigdemont|N˙ria|1964-03-15|M|O|POS|VLC01||A
D000364|48604942D|GÛmez|VÌlchez|MartÌ|1996-05-11|M|AB|POS|LPA01||A
D000365|40424307L|AlcaÒiz|GÛmez|LucÌa|1967-01-22|F|B|NEG|BCN02||A
D000366|95146478Z|Ib·Òez|PeÒalver|Jordi|1962-03-12|F|O|POS|LPA01||A
D000367|45690703N|N˙Òez|Puigdemont|MÛnica|1968-12-24|M|O|NEG|MAD01||A
D000368|97766215K|S·ez|RodrÌguez|Xavier|1971-06-28|F|AB|POS|LPA01||A
D000369|79387981F|EspinÛs|PeÒalver|Jordi|2002-09-16|M|A|NEG|MAD01||A
D000370|34944734R|RodrÌguez|VÌlchez|MartÌ|1982-08-11|F|A|NEG|BCN02||A
D000371|29102189X|PeÒalver|GÛmez|¡ngel|1980-09-07|M|A|POS|LPA01||A
D000372|32091669Q|VÌlchez|EspinÛs|MartÌ|1982-03-10|F|A|POS|MAD01||A
D000373|78115676B|GÛmez|RodrÌguez|IÒaki|2003-06-02|M|B|POS|BCN02||A
D000374|16671749C|N˙Òez|Puigdemont|IÒaki|1977-03-10|M|A|POS|BCN01||A
D000375|61562280Q|Ferr·ndez|N˙Òez|Aitana|1959-07-23|F|B|POS|BCN02||A
D000376|81158708G|EspinÛs|AlcaÒiz|Xavier|1962-12-20|M|A|NEG|VLC01||A
D000377|90877037S|S·ez|GÛmez|SofÌa|1975-10-01|M|AB|POS|MAD01||A
D000378|54557340D|MuÒoz|RodrÌguez|LucÌa|1980-02-16|M|B|NEG|VLC01||A
D000379|97391438N|S·ez|N˙Òez|BegoÒa|1983-08-25|M|AB|POS|VLC01||A
D000380|59597456N|AlcaÒiz|MuÒoz|Aitana|1984-04-01|M|AB|NEG|BCN02||A
D000381|94987223P|S·ez|Ib·Òez|JosÈ|1982-05-12|F|B|NEG|BCN02||A
D000382|68799030N|VÌlchez|MuÒoz|JosÈ|1975-03-28|F|A|POS|MAD01||A
D000383|97274935G|RodrÌguez|VÌlchez|JosÈ|1969-04-13|F|O|NEG|BCN01||A
D000384|81258747X|Ferr·ndez|Bofill|BegoÒa|1970-03-09|F|B|POS|MAD01||A
D000385|19164809G|Catal‡|Puigdemont|Jordi|1967-01-04|F|A|POS|MAD01||A
D000386|57697497R|Puigdemont|Catal‡|Joan|1965-01-24|F|AB|NEG|BCN02||A
D000387|46080047P|AlcaÒiz|EspinÛs|SofÌa|1980-08-22|M|B|POS|BCN01||A
D000388|45357300G|EspinÛs|VÌlchez|Aitana|1976-06-07|F|O|NEG|VLC01||A
D000389|48034075Z|Ib·Òez|Catal‡|MartÌ|2003-10-11|F|A|POS|MAD01||A
D000390|46833146S|PeÒalver|PeÒalver|Xavier|1986-09-18|M|AB|NEG|MAD01||A
D000391|18790784N|VÌlchez|Ferr·ndez|Jordi|1996-03-13|M|O|POS|LPA01||A
D000392|43899964H|MuÒoz|VÌlchez|JosÈ|1968-12-09|F|B|POS|BCN02||A
D000393|78664319Q|PeÒalver|VÌlchez|Joan|1997-04-02|F|O|NEG|MAD01||A
D000394|87047461L|VÌlchez|MuÒoz|Aitana|1996-06-09|F|AB|NEG|BCN02||A
D000395|44994921L|S·ez|RodrÌguez|MartÌ|1976-12-19|M|A|POS|BCN01||A
D000396|27011155E|Ferr·ndez|Ib·Òez|IÒaki|1986-05-04|F|O|POS|BCN01||A
D000397|41240241X|GÛmez|PeÒalver|IÒaki|1960-07-21|F|A|NEG|VLC01||A
D000398|44748649E|GÛmez|EspinÛs|MartÌ|1995-07-20|M|O|POS|LPA01||A
D000399|16777200Q|Ib·Òez|VÌlchez|N˙ria|1991-10-14|M|A|NEG|BCN02||A
D000400|10533504P|GÛmez|N˙Òez|Jordi|1968-08-03|F|AB|NEG|LPA01||A
D000401|94280778M|Ferr·ndez|PeÒalver|CristÚfol|2001-05-27|M|O|POS|VLC01||A
D000402|37225143B|AlcaÒiz|Catal‡|MÛnica|1972-01-08|F|AB|POS|BCN02||A
D000403|69166378R|Ib·Òez|Puigdemont|Joan|1962-11-04|F|O|POS|LPA01||A
D000404|23740040E|Bofill|MuÒoz|Joan|1972-07-25|M|B|NEG|MAD01||A
D000405|17394769X|N˙Òez|EspinÛs|SofÌa|1995-02-02|F|B|NEG|BCN02||A
D000406|40525340G|RodrÌguez|Ib·Òez|MarÌa|1977-04-13|F|A|NEG|VLC01||A
D000407|19532033F|Puigdemont|N˙Òez|LucÌa|1978-06-09|F|O|NEG|MAD01||A
D000408|61870064M|PeÒalver|PeÒalver|¡ngel|1972-06-24|M|A|NEG|MAD01||A
D000409|23906025S|Catal‡|Puigdemont|Jordi|1993-07-24|M|B|NEG|VLC01||A
D000410|12787233W|EspinÛs|AlcaÒiz|N˙ria|1996-09-23|M|AB|POS|BCN02||A
D000411|65848340J|EspinÛs|Catal‡|¡lvaro|1996-07-01|F|A|POS|BCN01||A
D000412|49212264Y|S·ez|EspinÛs|JosÈ|1997-08-25|M|AB|POS|MAD01||A
D000413|87556349D|EspinÛs|Puigdemont|BegoÒa|1970-12-24|M|AB|POS|MAD01||A
D000414|79939498W|Ferr·ndez|S·ez|Aitana|1985-12-22|F|B|POS|BCN01||A
D000415|91005112M|S·ez|Bofill|SofÌa|1993-07-25|F|AB|POS|BCN02||A
D000416|28284139G|Catal‡|MuÒoz|MarÌa|1968-03-17|M|AB|POS|BCN02||A
D000417|25871357T|AlcaÒiz|Bofill|MÛnica|1977-09-06|M|AB|POS|BCN02||A
D000418|90893116E|N˙Òez|S·ez|N˙ria|2001-12-12|F|B|POS|BCN01||A
D000419|72473854G|Bofill|MuÒoz|Xavier|1996-12-28|F|AB|NEG|VLC01||A
D000420|32871189B|Bofill|Puigdemont|LucÌa|1957-12-17|M|AB|NEG|BCN01||A
D000421|40991505N|RodrÌguez|Ferr·ndez|LucÌa|1998-05-16|M|B|POS|BCN01||A
D000422|26205961P|Catal‡|VÌlchez|LucÌa|2000-06-08|F|O|POS|BCN02||A
D000423|27821014W|RodrÌguez|GÛmez|JosÈ|1955-10-01|M|O|NEG|MAD01||A
D000424|75984907E|S·ez|S·ez|MÛnica|1965-01-14|F|AB|NEG|LPA01||A
D000425|55891643G|Ferr·ndez|Catal‡|¡lvaro|1955-04-08|F|A|NEG|MAD01||A
D000426|79712577L|MuÒoz|RodrÌguez|MÛnica|1986-11-10|M|B|POS|BCN01||A
D000427|75803594V|Ferr·ndez|MuÒoz|SofÌa|1982-12-26|F|AB|NEG|LPA01||A
D000428|70889082C|PeÒalver|VÌlchez|MartÌ|1968-02-09|F|A|POS|BCN02||A
D000429|36969361G|Bofill|Bofill|LucÌa|1993-12-09|F|A|POS|LPA01||A
D000430|44442376K|Ferr·ndez|Catal‡|Joan|1986-10-13|M|AB|POS|BCN01||A
D000431|60277738E|Bofill|RodrÌguez|SofÌa|2002-07-20|F|B|NEG|BCN01||A
D000432|41308861G|Bofill|EspinÛs|BegoÒa|2003-10-02|M|AB|NEG|BCN01||A
D000433|40341979V|MuÒoz|Puigdemont|MartÌ|1957-07-20|F|AB|NEG|BCN01||A
D000434|74866775B|Ferr·ndez|S·ez|BegoÒa|1978-06-03|F|AB|NEG|BCN01||A
D000435|41746191R|Ferr·ndez|RodrÌguez|Jordi|1973-09-23|M|A|NEG|BCN01||A
D000436|86586594G|S·ez|AlcaÒiz|JosÈ|1977-11-05|F|B|NEG|MAD01||A
D000437|31502579C|EspinÛs|Puigdemont|¡lvaro|2002-01-28|M|AB|NEG|BCN02||A
D000438|22747046D|PeÒalver|PeÒalver|MarÌa|1996-01-20|M|B|NEG|BCN02||A
D000439|31799827S|RodrÌguez|Puigdemont|Joan|1979-11-15|F|AB|POS|BCN01||A
D000440|45016975F|RodrÌguez|S·ez|LucÌa|1958-02-04|F|A|POS|MAD01||A
D000441|30501646B|EspinÛs|MuÒoz|JosÈ|1960-12-02|F|AB|POS|VLC01||A
D000442|82390500S|Catal‡|Puigdemont|MÛnica|1972-01-10|M|O|POS|LPA01||A
D000443|15271899R|PeÒalver|Puigdemont|BegoÒa|1975-03-03|M|B|POS|MAD01||A
D000444|40924791M|MuÒoz|RodrÌguez|IÒaki|1977-01-09|M|B|NEG|BCN01||A
D000445|78549953A|Ib·Òez|PeÒalver|SofÌa|1997-04-18|F|O|NEG|LPA01||A
D000446|86999878D|Ferr·ndez|N˙Òez|JosÈ|1981-06-13|F|O|NEG|LPA01||A
D000447|92280715G|S·ez|S·ez|Joan|1957-01-05|F|O|POS|BCN01||A
D000448|56290326W|Bofill|Puigdemont|Aitana|1955-11-21|F|B|NEG|BCN01||A
D000449|83363334H|Ferr·ndez|Bofill|Xavier|2004-04-08|F|AB|POS|VLC01||A
D000450|49918399J|Bofill|Ib·Òez|N˙ria|1980-02-25|F|A|NEG|BCN01||A
D000451|53202211T|Bofill|Ib·Òez|MartÌ|1986-03-14|M|AB|POS|LPA01||A
D000452|24148155A|GÛmez|EspinÛs|CristÚfol|2000-09-13|M|AB|POS|BCN02||A
D000453|57274071J|AlcaÒiz|Ferr·ndez|Joan|1990-09-14|M|B|POS|BCN02||A
D000454|60158435Z|GÛmez|AlcaÒiz|Joan|2001-12-16|M|AB|POS|BCN02||A
D000455|40828007H|Ib·Òez|EspinÛs|¡ngel|1973-09-07|F|A|NEG|LPA01||A
D000456|49938704E|MuÒoz|Ib·Òez|MÛnica|1963-09-16|M|AB|NEG|MAD01||A
D000457|33918792N|Puigdemont|MuÒoz|CristÚfol|1964-10-05|M|B|POS|LPA01||A
D000458|91508693P|MuÒoz|GÛmez|MarÌa|1967-03-17|F|A|POS|BCN02||A
D000459|66392659G|Catal‡|AlcaÒiz|N˙ria|1991-10-16|M|A|POS|BCN01||A
D000460|65466414A|Bofill|RodrÌguez|SofÌa|1974-02-26|M|O|NEG|VLC01||A
D000461|91920608T|RodrÌguez|GÛmez|IÒaki|1986-03-06|F|A|NEG|BCN01||A
D000462|60779331C|Puigdemont|PeÒalver|N˙ria|1974-03-19|M|B|POS|LPA01||A
D000463|81426935M|RodrÌguez|VÌlchez|¡ngel|2000-06-27|M|AB|POS|BCN02||A
D000464|93279513L|N˙Òez|S·ez|Xavier|1990-08-03|M|A|NEG|BCN01||A
D000465|20242830X|Puigdemont|Catal‡|Xavier|1982-12-08|F|O|POS|LPA01||A
D000466|28805177P|Bofill|Ib·Òez|LucÌa|1991-10-05|M|B|NEG|BCN01||A
D000467|71525808E|GÛmez|MuÒoz|SofÌa|1986-01-18|F|B|POS|VLC01||A
D000468|90039658T|AlcaÒiz|AlcaÒiz|IÒaki|1961-09-10|M|A|NEG|MAD01||A
D000469|58586104A|Ib·Òez|Ferr·ndez|Jordi|1985-07-08|F|A|NEG|BCN01||A
D000470|46746127M|Bofill|Puigdemont|¡ngel|1977-09-26|M|B|POS|VLC01||A
D000471|78417406J|Ib·Òez|VÌlchez|Jordi|1981-12-02|M|O|NEG|VLC01||A
D000472|19254672K|Ib·Òez|MuÒoz|¡ngel|1998-07-07|F|A|POS|LPA01||A
D000473|39576873F|RodrÌguez|RodrÌguez|IÒaki|1972-01-17|M|A|POS|LPA01||A
D000474|99817275H|EspinÛs|Catal‡|SofÌa|1969-10-11|F|AB|NEG|BCN01||A
D000475|46929139Y|Puigdemont|Catal‡|¡lvaro|1959-05-26|M|A|POS|BCN02||A
D000476|77656758G|Ib·Òez|Catal‡|MarÌa|1969-02-18|F|O|NEG|VLC01||A
D000477|23444647P|PeÒalver|AlcaÒiz|MartÌ|1962-05-14|M|O|POS|VLC01||A
D000478|29597599V|Puigdemont|PeÒalver|SofÌa|1956-01-12|M|AB|NEG|BCN02||A
D000479|71779542K|AlcaÒiz|Puigdemont|BegoÒa|1976-07-28|M|O|POS|BCN01||A
D000480|62627103S|EspinÛs|AlcaÒiz|Joan|1981-01-08|M|O|POS|VLC01||A
D000481|77874868R|AlcaÒiz|RodrÌguez|Jordi|1977-04-10|F|O|NEG|BCN01||A
D000482|71645348L|Ferr·ndez|Catal‡|SofÌa|2004-07-07|F|B|POS|BCN01||A
D000483|70723806C|S·ez|RodrÌguez|Joan|1964-07-12|M|AB|NEG|BCN01||A
D000484|83070145B|Ib·Òez|Catal‡|MarÌa|1996-11-01|M|O|POS|BCN02||A
D000485|55495018T|GÛmez|Ferr·ndez|SofÌa|1979-01-20|M|AB|POS|LPA01||A
D000486|56965053Z|Puigdemont|Ferr·ndez|LucÌa|1980-09-13|M|O|POS|BCN01||A
D000487|44926996N|Ferr·ndez|MuÒoz|¡lvaro|1971-07-08|M|A|NEG|BCN02||A
D000488|39573459P|Puigdemont|AlcaÒiz|MÛnica|1983-10-25|F|O|NEG|VLC01||A
D000489|30918764F|Ferr·ndez|Bofill|MartÌ|1968-08-15|F|O|POS|BCN01||A
D000490|10885457E|Ferr·ndez|Bofill|Xavier|1987-12-02|M|B|NEG|MAD01||A
D000491|42279321Y|PeÒalver|GÛmez|MartÌ|1990-06-13|F|AB|NEG|MAD01||A
D000492|84927242W|Ferr·ndez|S·ez|JosÈ|1972-04-03|F|AB|POS|BCN01||A
D000493|83182531F|Ib·Òez|S·ez|BegoÒa|1964-09-07|M|A|NEG|BCN02||A
D000494|22315409T|RodrÌguez|EspinÛs|MarÌa|1981-01-20|F|A|NEG|BCN02||A
D000495|13701526S|Catal‡|Ferr·ndez|IÒaki|1985-05-15|F|AB|POS|BCN01||A
D000496|44578380G|S·ez|S·ez|JosÈ|1985-09-14|F|A|NEG|VLC01||A
D000497|51307454F|N√∫√±ez|Ferr·ndez|M√≥nica|1967-12-20|M|B|NEG|BCN01||A
D000498|19301740T|Ferr·ndez|Bofill|SofÌa|1988-06-19|F|A|NEG|BCN02||A
D000499|90817353J|Bofill|S·ez|MarÌa|1995-10-10|M|A|NEG|VLC01||A
D000500|91048537X|Ferr·ndez|Ferr·ndez|¡ngel|1997-04-24|M|B|POS|BCN02||A
